City,State_Province,Country,Player_Count,Latitude,Longitude
Abbotsford,British Columbia,Canada,4,49.0504377,-122.3044697
Aberdeen,Scotland,Scotland,1,57.1498891,-2.0937528
Abington,Massachusetts,USA,1,42.1048228,-70.9453218
Airdrie,Alberta,Canada,2,51.29269679999999,-114.0134113
Albert Lea,Minnesota,USA,1,43.6478006,-93.3686555
Alexandria,Minnesota,USA,1,45.8848164,-95.3776663
Alexandria,Virginia,USA,2,38.804693,-77.0435257
Algonquin,Illinois,USA,2,42.1655801,-88.29424929999999
Allendale,Michigan,USA,1,42.97219339999999,-85.9540407
Almonte,Ontario,Canada,1,45.22556549999999,-76.19405979999999
Alpharetta,Georgia,USA,2,34.0746204,-84.29228619999999
Altoona,Wisconsin,USA,1,44.8046825,-91.44321479999999
Ames,Iowa,USA,1,42.0307812,-93.63191309999999
Amherst,Massachusetts,USA,1,42.3732216,-72.5198537
Amherst,New York,USA,1,42.9625285,-78.7467479
Anaheim,California,USA,1,33.8365932,-117.9143012
Ancaster,Ontario,Canada,1,43.2177791,-79.98728349999999
Anchorage,Alaska,USA,10,61.2175758,-149.8996785
Andover,Massachusetts,USA,3,42.6627301,-71.1446897
Andover,Minnesota,USA,8,45.2332984,-93.29134049999999
Andover,New Hampshire,USA,1,43.43701979999999,-71.8234138
Angelholm,Sweden,Sweden,1,56.245748,12.863881
Anmore,British Columbia,Canada,1,49.3145411,-122.8556688
Apple Valley,Minnesota,USA,5,44.7319094,-93.21772000000001
Appleton,Wisconsin,USA,1,44.2622712,-88.40710469999999
Arlington,Massachusetts,USA,4,42.4153925,-71.1564729
Armonk,New York,USA,1,41.1264849,-73.71401949999999
Arnprior,Ontario,Canada,1,45.4347445,-76.3518469
Ashburn,Virginia,USA,1,39.0437567,-77.4874416
Ashburnham,Massachusetts,USA,1,42.635545,-71.90973939999999
Atlanta,Georgia,USA,1,33.7501275,-84.3885209
Atlantic Highlands,New Jersey,USA,1,40.4093672,-74.0400231
Atlantic Mine,Michigan,USA,1,47.0971497,-88.62762459999999
Auburn,New Hampshire,USA,1,43.0045288,-71.348398
Auburn,Washington,USA,1,47.30732279999999,-122.2284532
Augsburg,Germany,Germany,1,48.3705449,10.89779
Aurora,Illinois,USA,1,41.7605849,-88.32007150000001
Aurora,Ontario,Canada,3,44.00648,-79.450396
Avon,Connecticut,USA,1,41.8096201,-72.8305154
Avon,New Jersey,USA,1,40.1926842,-74.0215746
Baldwin Park,California,USA,1,34.0852868,-117.9608978
Balgonie,Saskatchewan,Canada,1,50.4921223,-104.2687767
Banska Stiavnica,Slovakia,Slovakia,1,48.44920159999999,18.9070093
Bardejov,Slovakia,Slovakia,1,49.2945857,21.2754012
Barrhead,Alberta,Canada,1,54.1229824,-114.4017497
Barrie,Ontario,Canada,2,44.38935559999999,-79.6903316
Basking Ridge,New Jersey,USA,2,40.7066174,-74.5493284
Batavia,Illinois,USA,1,41.8500284,-88.3125738
Battle Creek,Michigan,USA,1,42.3211522,-85.17971419999999
Bayville,New York,USA,1,40.9106541,-73.56206890000001
Beach Park,Illinois,USA,1,42.4222435,-87.85729549999999
Beaconsfield,Quebec,Canada,3,45.4309308,-73.86828349999999
Beaumont,Alberta,Canada,2,53.3521108,-113.415127
Bedford,New Hampshire,USA,1,42.9463291,-71.51320079999999
Bedford,New York,USA,1,41.204262,-73.6437397
Belleville,Illinois,USA,1,38.5200504,-89.9839935
Belleville,Ontario,Canada,2,44.1627589,-77.3832315
Bellevue,Washington,USA,1,47.6101497,-122.2015159
Bellinzona,Switzerland,Switzerland,1,46.1946216,9.0244124
Bellows Falls,Vermont,USA,1,43.133411,-72.44397719999999
Belmont,Massachusetts,USA,1,42.3956405,-71.1776114
Berwyn,Pennsylvania,USA,1,40.045824,-75.4395931
Bethesda,Maryland,USA,3,38.984652,-77.0947092
Beverly,Massachusetts,USA,1,42.5584283,-70.880049
Biddeford,Maine,USA,2,43.4925843,-70.45338439999999
Binbrook,Ontario,Canada,1,43.1208545,-79.8045509
Birmingham,Michigan,USA,1,42.5467012,-83.21131919999999
Bismarck,North Dakota,USA,1,46.8041643,-100.7877616
Blackfalds,Alberta,Canada,2,52.381198,-113.7953731
Blackwood,New Jersey,USA,1,39.8023363,-75.0640602
Blaine,Minnesota,USA,4,45.1607987,-93.23494889999999
Blauvelt,New York,USA,1,41.0634299,-73.95763780000001
Bloomfield,Michigan,USA,1,42.5813327,-83.28117689999999
Bloomfield Hills,Michigan,USA,1,42.583645,-83.24548829999999
Bloomington,Minnesota,USA,2,44.840798,-93.2982799
Boca Raton,Florida,USA,3,26.3683064,-80.1289321
Boisbriand,Quebec,Canada,1,45.6130933,-73.8387661
Bonnyville,Alberta,Canada,2,54.2679661,-110.7397826
Boston,Massachusetts,USA,4,42.3555076,-71.0565364
Boulder,Colorado,USA,1,40.0189728,-105.2747406
Bovey,Minnesota,USA,1,47.2955444,-93.4159162
Bow,New Hampshire,USA,1,43.1320263,-71.54923769999999
Bowie,Maryland,USA,1,39.0067768,-76.77913649999999
Braeside,Ontario,Canada,1,45.4658182,-76.4069648
Brainerd,Minnesota,USA,2,46.3526733,-94.2020084
Braintree,Massachusetts,USA,2,42.2079017,-71.0040013
Brampton,Ontario,Canada,1,43.7315479,-79.7624177
Brandon,Manitoba,Canada,1,49.8437486,-99.95148069999999
Brantford,Ontario,Canada,1,43.1394191,-80.263623
Brasher Falls,New York,USA,3,44.807648,-74.7743057
Bratislava,Slovakia,Slovakia,3,48.1485965,17.1077477
Brentwood,New Hampshire,USA,1,42.9780248,-71.0735503
Brentwood,Tennessee,USA,1,36.0331164,-86.78277720000001
Bridgewater,Massachusetts,USA,2,41.99024199999999,-70.9754708
Bridgewater,New Jersey,USA,1,40.5929855,-74.6263783
Brighton,Massachusetts,USA,1,42.3489143,-71.1604919
Brighton,Michigan,USA,1,42.5294773,-83.7802214
